Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
-8.588456763185576e+00	3.110784795642108e+01	5.091986828402086e+01	-1.113185466016457e+01	-5.950830767364594e-01	1.446728839486261e+02	4.474171007808418e+02	5.527432479920448e+02	-1.052091150744218e+02	2.226603521610196e+01	1.838017236092631e+01	3.110784795642108e+01
-8.418388312429427e+00	3.238731826051323e+01	5.078909210342238e+01	-1.102465839324448e+01	-5.937577983520989e-01	1.537633015500625e+02	4.792051946703785e+02	5.935532385611427e+02	-1.162485485799250e+02	2.213054373855833e+01	1.849187260710399e+01	3.238731826051323e+01
-8.248319861673277e+00	3.371731041372532e+01	5.064705065074802e+01	-1.091514466227540e+01	-5.916940545908659e-01	1.636606912579326e+02	5.238025013987473e+02	6.479637300875270e+02	-1.290213017828500e+02	2.171107865484263e+01	1.867726932858197e+01	3.371731041372532e+01
-8.078251410917126e+00	3.508886604971249e+01	5.050308908974171e+01	-1.080425601394800e+01	-5.891113497284696e-01	1.743228184687874e+02	5.729416794334225e+02	7.076708430196755e+02	-1.427922040176919e+02	2.117362039096883e+01	1.892413655164001e+01	3.508886604971249e+01
-7.908182960160977e+00	3.650289263105082e+01	5.035720184192760e+01	-1.069206971898933e+01	-5.860389529046444e-01	1.857844158316498e+02	6.269683525941846e+02	7.730536842843798e+02	-1.576179296665142e+02	2.051104283169931e+01	1.923617325743204e+01	3.650289263105082e+01
-7.738114509404827e+00	3.796029762031641e+01	5.020940061582671e+01	-1.057865888371150e+01	-5.825047459535566e-01	1.980809949071112e+02	6.862238739499951e+02	8.444878969306494e+02	-1.735557170070418e+02	1.971656818038073e+01	1.961706790275262e+01	3.796029762031641e+01
-7.568046058648677e+00	3.946198848008536e+01	5.005971162189987e+01	-1.046409269138742e+01	-5.785352782364411e-01	2.112488595421804e+02	7.510457262317332e+02	9.223460921971073e+02	-1.906634480789310e+02	1.878375095531482e+01	2.007051819832785e+01	3.946198848008536e+01
-7.397977607892527e+00	4.100887267293374e+01	4.990817313452197e+01	-1.034843662363987e+01	-5.741558190436206e-01	2.253251291701559e+02	8.217673815261684e+02	1.006997731326396e+03	-2.089995799199316e+02	1.770649949191672e+01	2.060021017372829e+01	4.100887267293374e+01
-7.227909157136377e+00	4.260185766143766e+01	4.975483336055458e+01	-1.023175266469473e+01	-5.693904079903350e-01	2.403477714957328e+02	8.987186951890527e+02	1.098809532564672e+03	-2.286231354355610e+02	1.647913806552963e+01	2.120983242674344e+01	4.260185766143766e+01
-7.057840706380227e+00	4.424185090817320e+01	4.959974857894942e+01	-1.011409949082160e+01	-5.642619037142874e-01	2.563556205000307e+02	9.822251522528286e+02	1.198144745641300e+03	-2.495936436362436e+02	1.509635625185054e+01	2.190306900673422e+01	4.424185090817320e+01
-6.887772255624077e+00	4.592975980188446e+01	4.944298156409985e+01	-9.995532651852651e+00	-5.587920319907177e-01	2.733884021924903e+02	1.072608682982638e+03	1.305363986479091e+03	-2.719711684686354e+02	1.355326031208244e+01	2.268361132721492e+01	4.592975980188446e+01
-6.717703804867927e+00	4.766649195281154e+01	4.928459999884323e+01	-9.876104715988829e+00	-5.530014279858408e-01	2.914867612804733e+02	1.170187187532519e+03	1.420824787535332e+03	-2.958163184444242e+02	1.184532368136154e+01	2.355516159254651e+01	4.766649195281154e+01
-6.547635354111777e+00	4.945295474969851e+01	4.912467552320693e+01	-9.755865455955385e+00	-5.469096864239086e-01	3.106922789728920e+02	1.275274700866848e+03	1.544881782725556e+03	-3.211902041485714e+02	9.968417582385515e+00	2.452142640068667e+01	4.945295474969851e+01
-6.377566903355627e+00	5.129005565512148e+01	4.896328249653025e+01	-9.634861973886627e+00	-5.405354013478374e-01	3.310475001958953e+02	1.388181766312519e+03	1.677887106599267e+03	-3.481545006649872e+02	7.918796156560562e+00	2.558611863764567e+01	5.129005565512148e+01
-6.207498452599477e+00	5.317870213165654e+01	4.880049713398979e+01	-9.513138844535753e+00	-5.338962094000662e-01	3.525959684237789e+02	1.509215212789471e+03	1.820190182064935e+03	-3.767714116035713e+02	5.693132968785296e+00	2.675297470812162e+01	5.317870213165654e+01
-6.037430001843327e+00	5.511980174464702e+01	4.863639673415882e+01	-9.390738239383502e+00	-5.270088303872061e-01	3.753822388236244e+02	1.638678123094403e+03	1.972137724723772e+03	-4.071036319843881e+02	3.288446811383900e+00	2.802574018111728e+01	5.511980174464702e+01
-5.867361551087177e+00	5.711426175113453e+01	4.847105898077574e+01	-9.267700075584468e+00	-5.198891099923975e-01	3.994519031590938e+02	1.776870207614349e+03	2.134074129126714e+03	-4.392144480811811e+02	7.021385402929223e-01	2.940818714488702e+01	5.711426175113453e+01
-5.697293100331027e+00	5.916298971646239e+01	4.830456142408997e+01	-9.144062094257643e+00	-5.125520547337299e-01	4.248516200455113e+02	1.924088567556122e+03	2.306342262936381e+03	-4.731678153171366e+02	-2.068004986723932e+00	3.090409921389825e+01	5.916298971646239e+01
