mach,planform_area,angle_of_attack,lift,induced_drag,parasitic_drag,wave_drag,total_drag,lift_over_drag
0.5,1,4.0,0.162528341147,0.003848404486,0.009450340309524019,0,0.01329874479552402,12.221329429654325
0.5,1,5.0,0.202924943283,0.006002303856,0.009450340309524019,0,0.01545264416552402,13.132053071909882
0.5,1,6.0,0.243162204134,0.00862472904,0.009450340309524019,0,0.01807506934952402,13.452905736176515
0.5,1,7.0,0.283207486153,0.011710068566,0.009450340309524019,0,0.02116040887552402,13.38383808266496
0.5,1,8.0,0.323033925869,0.015252864289,0.009450340309524019,0,0.02470320459852402,13.076600024933638
0.5,1,9.0,0.362604122004,0.019243133335,0.009450340309524019,0,0.028693473644524018,12.637163645510759
0.5,1,10.0,0.401899325776,0.023674271015,0.009450340309524019,0,0.03312461132452402,12.132952197946283
0.5,1,11.0,0.440882207902,0.028529779733,0.009450340309524019,0,0.03798012004252402,11.60823629331269
0.5,1,12.0,0.479149703921,0.033746855502,0.009450340309524019,0,0.04319719581152402,11.092148342489718
0.5,1,13.0,0.513797297184,0.038836994635,0.009450340309524019,0,0.048287334944524016,10.64041529262875
0.5,1,14.0,0.54418224388,0.043608606652,0.009450340309524019,0,0.053058946961524016,10.256182511021501
0.5,1,15.0,0.570646050976,0.048021319977,0.009450340309524019,0,0.05747166028652402,9.92917288505419
0.5,1,16.0,0.593315300564,0.052013371387,0.009450340309524019,0,0.061463711696524016,9.653099108193851
0.5,1,17.0,0.612225186991,0.055485095018,0.009450340309524019,0,0.06493543532752402,9.428214100714555
0.5,1,18.0,0.627697274674,0.058437513968,0.009450340309524019,0,0.06788785427752403,9.246090944456538
0.5,1,19.0,0.639996911624,0.060876408465,0.009450340309524019,0,0.07032674877452402,9.100334122879854
0.5,1,20.0,0.649851671129,0.062867774525,0.009450340309524019,0,0.07231811483452402,8.986015089247966
0.6,1,-5.0,-0.207898608011,0.006281993011,0.009169545027868972,0,0.015451538038868971,-13.454881157333503
0.6,1,-4.0,-0.166519452699,0.004026810148,0.009169545027868972,0,0.013196355175868972,-12.618594337586462
0.6,1,-3.0,-0.124992370872,0.002265793217,0.009169545027868972,0,0.011435338244868972,-10.93036062383935
